Time Period,Measure,Persons,Males,Females,Age
2014,NOM departures,"38,670","21,200","17,470",30-34
2014,NOM departures,"19,870","11,220","8,660",35-39
2014,NOM departures,"14,510","8,250","6,270",40-44
2014,NOM departures,"10,550","6,100","4,460",45-49
2014,NOM departures,"9,100","5,080","4,020",50-54
2014,NOM departures,"7,660","4,270","3,380",55-59
2014,NOM departures,"5,790","3,120","2,670",60-64
2014,NOM departures,"9,470","5,090","4,380",65 and over
2015,NOM arrivals,"473,250","235,350","237,900", ages
2015,NOM arrivals,"46,120","23,880","22,230",15-19
2015,NOM arrivals,"100,670","50,650","50,020",20-24
2015,NOM arrivals,"95,140","45,070","50,080",25-29
2015,NOM arrivals,"57,340","28,390","28,960",30-34
2015,NOM arrivals,"31,680","15,980","15,700",35-39
2015,NOM arrivals,"20,970","10,530","10,440",40-44
2015,NOM arrivals,"14,090","7,270","6,820",45-49
2015,NOM arrivals,"10,510","5,180","5,330",50-54
2015,NOM arrivals,"9,880","4,420","5,460",55-59
2015,NOM arrivals,"8,380","3,980","4,390",60-64
2015,NOM arrivals,"12,160","6,090","6,060",65 and over
2015,NOM departures,"286,520","153,300","133,220", ages
2015,NOM departures,"9,770","5,020","4,750",15-19
2015,NOM departures,"48,380","25,400","22,990",20-24
2015,NOM departures,"67,990","36,060","31,930",25-29
2015,NOM departures,"40,230","22,120","18,110",30-34
2015,NOM departures,"21,390","12,050","9,340",35-39
2015,NOM departures,"15,020","8,480","6,550",40-44
2015,NOM departures,"11,350","6,370","4,980",45-49
2015,NOM departures,"9,850","5,320","4,530",50-54
2015,NOM departures,"8,750","4,660","4,100",55-59
2015,NOM departures,"6,620","3,430","3,190",60-64
2015,NOM departures,"11,650","6,080","5,570",65 and over
2016,NOM arrivals,"519,650","258,900","260,760", ages
2016,NOM arrivals,"49,580","25,590","23,990",15-19
2016,NOM arrivals,"108,040","54,010","54,030",20-24
2016,NOM arrivals,"102,800","48,820","53,970",25-29
2016,NOM arrivals,"62,440","31,020","31,420",30-34
2016,NOM arrivals,"35,890","18,420","17,470",35-39
2016,NOM arrivals,"23,450","11,900","11,550",40-44
2016,NOM arrivals,"16,270","8,370","7,910",45-49
2016,NOM arrivals,"12,310","6,170","6,140",50-54
2016,NOM arrivals,"11,200","5,060","6,140",55-59
2016,NOM arrivals,"10,070","4,790","5,280",60-64
2016,NOM arrivals,"14,540","7,230","7,310",65 and over
2016,NOM departures,"275,820","145,690","130,140", ages
2016,NOM departures,"9,470","4,790","4,680",15-19
2016,NOM departures,"46,520","23,330","23,180",20-24
2016,NOM departures,"65,590","34,760","30,840",25-29
2016,NOM departures,"38,690","20,960","17,730",30-34
2016,NOM departures,"20,370","11,360","9,000",35-39
2016,NOM departures,"14,260","8,060","6,210",40-44
2016,NOM departures,"10,950","6,200","4,740",45-49
2016,NOM departures,"9,680","5,220","4,460",50-54
2016,NOM departures,"8,390","4,390","4,000",55-59
2016,NOM departures,"6,820","3,460","3,360",60-64
2016,NOM departures,"11,510","5,980","5,530",65 and over
2017,NOM arrivals,"531,370","267,690","263,680", ages
2017,NOM arrivals,"50,980","26,640","24,340",15-19
2017,NOM arrivals,"114,300","57,590","56,710",20-24
2017,NOM arrivals,"107,200","51,730","55,470",25-29
2017,NOM arrivals,"63,700","32,040","31,660",30-34
2017,NOM arrivals,"37,630","19,610","18,020",35-39
2017,NOM arrivals,"24,180","12,520","11,670",40-44
2017,NOM arrivals,"16,950","8,930","8,020",45-49
2017,NOM arrivals,"12,250","6,170","6,090",50-54
2017,NOM arrivals,"10,320","4,710","5,620",55-59
2017,NOM arrivals,"9,230","4,400","4,820",60-64
2017,NOM arrivals,"13,590","6,850","6,740",65 and over
2017,NOM departures,"289,710","153,470","136,240", ages
2017,NOM departures,"11,000","5,720","5,280",15-19
2017,NOM departures,"49,640","25,800","23,840",20-24
2017,NOM departures,"67,940","35,720","32,230",25-29
2017,NOM departures,"39,270","21,480","17,790",30-34
2017,NOM departures,"21,990","12,410","9,580",35-39
2017,NOM departures,"14,490","8,130","6,370",40-44
2017,NOM departures,"11,770","6,510","5,250",45-49
2017,NOM departures,"10,050","5,240","4,820",50-54
2017,NOM departures,"9,110","4,710","4,400",55-59
2017,NOM departures,"7,410","3,690","3,720",60-64
2017,NOM departures,"13,000","6,750","6,250",65 and over
2018,NOM arrivals,"534,400","271,260","263,140", ages
2018,NOM arrivals,"54,600","29,340","25,260",15-19
2018,NOM arrivals,"120,250","62,790","57,470",20-24
2018,NOM arrivals,"109,660","53,610","56,050",25-29
2018,NOM arrivals,"63,040","31,580","31,460",30-34
2018,NOM arrivals,"36,810","18,830","17,970",35-39
2018,NOM arrivals,"22,270","11,470","10,800",40-44
2018,NOM arrivals,"15,170","7,550","7,620",45-49
2018,NOM arrivals,"11,030","5,390","5,640",50-54
2018,NOM arrivals,"10,150","4,560","5,590",55-59
2018,NOM arrivals,"9,420","4,370","5,050",60-64
2018,NOM arrivals,"13,790","6,930","6,860",65 and over
2018,NOM departures,"282,180","148,460","133,710", ages
2018,NOM departures,"9,330","4,740","4,580",15-19
2018,NOM departures,"50,190","25,190","25,010",20-24
2018,NOM departures,"71,200","37,260","33,940",25-29
2018,NOM departures,"39,500","21,630","17,870",30-34
2018,NOM departures,"21,710","12,170","9,540",35-39
2018,NOM departures,"13,680","7,710","5,980",40-44
2018,NOM departures,"10,620","5,810","4,810",45-49
2018,NOM departures,"8,470","4,590","3,880",50-54
2018,NOM departures,"7,870","4,040","3,830",55-59
2018,NOM departures,"6,560","3,190","3,370",60-64
2018,NOM departures,"10,960","5,670","5,290",65 and over
2019,NOM arrivals,"607,870","301,850","306,020", ages
2019,NOM arrivals,"49,520","26,500","23,020",15-19
2019,NOM arrivals,"112,530","58,260","54,270",20-24
2019,NOM arrivals,"112,110","54,460","57,650",25-29
2019,NOM arrivals,"68,260","34,220","34,030",30-34
2019,NOM arrivals,"40,850","21,170","19,680",35-39
2019,NOM arrivals,"25,630","13,190","12,450",40-44
2019,NOM arrivals,"19,240","9,540","9,690",45-49
2019,NOM arrivals,"17,830","7,840","9,990",50-54
2019,NOM arrivals,"22,810","8,630","14,180",55-59
2019,NOM arrivals,"26,340","11,080","15,250",60-64
2019,NOM arrivals,"40,390","19,790","20,600",65 and over
2019,NOM departures,"360,250","186,070","174,180", ages
2019,NOM departures,"16,660","8,200","8,460",15-19
2019,NOM departures,"76,060","38,120","37,950",20-24
2019,NOM departures,"81,360","42,550","38,810",25-29
2019,NOM departures,"44,830","24,020","20,810",30-34
2019,NOM departures,"24,960","13,910","11,050",35-39
2019,NOM departures,"16,200","9,030","7,170",40-44
2019,NOM departures,"13,130","7,010","6,130",45-49
2019,NOM departures,"11,470","5,830","5,640",50-54
2019,NOM departures,"11,380","5,320","6,060",55-59
2019,NOM departures,"10,220","4,610","5,620",60-64
2019,NOM departures,"18,220","8,990","9,230",65 and over
2020,NOM arrivals,"235,350","115,830","119,530", ages
2020,NOM arrivals,"17,160","9,110","8,050",15-19
2020,NOM arrivals,"34,500","17,550","16,950",20-24
2020,NOM arrivals,"38,220","18,130","20,090",25-29
2020,NOM arrivals,"27,880","13,470","14,400",30-34
2020,NOM arrivals,"18,270","9,170","9,100",35-39
2020,NOM arrivals,"12,220","6,220","6,000",40-44
2020,NOM arrivals,"8,960","4,530","4,430",45-49
2020,NOM arrivals,"7,870","3,660","4,200",50-54
2020,NOM arrivals,"9,060","3,750","5,300",55-59
2020,NOM arrivals,"9,620","4,070","5,540",60-64
2020,NOM arrivals,"17,080","8,310","8,770",65 and over
2020,NOM departures,"240,320","124,950","115,370", ages
2020,NOM departures,"9,920","4,970","4,950",15-19
2020,NOM departures,"51,300","26,730","24,570",20-24
2020,NOM departures,"59,560","31,970","27,590",25-29
2020,NOM departures,"32,030","17,170","14,870",30-34
2020,NOM departures,"16,380","9,020","7,360",35-39
2020,NOM departures,"9,680","5,390","4,280",40-44
2020,NOM departures,"7,140","3,780","3,360",45-49
2020,NOM departures,"6,630","3,240","3,400",50-54
2020,NOM departures,"7,190","3,010","4,190",55-59
2020,NOM departures,"7,270","2,990","4,280",60-64
2020,NOM departures,"11,370","5,460","5,910",65 and over
2021,NOM arrivals,"210,990","108,850","102,140", ages
2021,NOM arrivals,"11,400","6,020","5,380",15-19
2021,NOM arrivals,"26,110","14,840","11,280",20-24
2021,NOM arrivals,"31,670","15,760","15,910",25-29
2021,NOM arrivals,"27,140","13,750","13,390",30-34
2021,NOM arrivals,"20,230","10,650","9,590",35-39
2021,NOM arrivals,"13,740","7,280","6,460",40-44
2021,NOM arrivals,"9,310","4,870","4,440",45-49
2021,NOM arrivals,"7,410","3,710","3,700",50-54
2021,NOM arrivals,"7,440","3,280","4,150",55-59
2021,NOM arrivals,"7,040","3,160","3,880",60-64
2021,NOM arrivals,"11,410","5,840","5,570",65 and over
2021,NOM departures,"209,090","107,500","101,590", ages
2021,NOM departures,"6,020","3,150","2,870",15-19
2021,NOM departures,"28,250","15,280","12,960",20-24
2021,NOM departures,"40,660","22,080","18,580",25-29
2021,NOM departures,"27,630","15,140","12,490",30-34
2021,NOM departures,"16,550","9,220","7,330",35-39
2021,NOM departures,"10,450","5,880","4,570",40-44
2021,NOM departures,"7,780","4,050","3,730",45-49
2021,NOM departures,"7,770","3,610","4,160",50-54
2021,NOM departures,"9,690","3,660","6,020",55-59
2021,NOM departures,"11,080","4,230","6,860",60-64
2021,NOM departures,"20,450","9,590","10,860",65 and over
